GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tetris,com.ucp.tetris,Board,126,607,59,111,19,100,48,51,2,11
Tetris,com.ucp.tetris,PieceL,0,1265,33,119,0,133,33,50,0,7
Tetris,com.ucp.tetris,PieceDog,0,952,34,78,0,105,34,29,0,7
Tetris,com.ucp.tetris,PieceStick,0,664,31,49,0,72,31,14,0,5
Tetris,com.ucp.tetris,Tetris,0,3,0,0,0,1,0,1,0,1
Tetris,com.ucp.tetris,PieceT,0,727,29,59,0,77,29,20,0,5
Tetris,com.ucp.tetris,PieceSquare,0,36,0,0,0,10,0,4,0,4
Tetris,com.ucp.tetris,Piece,1,249,7,45,1,38,8,24,1,5
